appointment_type	location	ut	time_str	is_available
One Day Service	HEAD OFFICE - BATTARAMULLA	1674115200.0	2023-01-19 08:00:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674116160.0	2023-01-19 08:16:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674117060.0	2023-01-19 08:31:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674117960.0	2023-01-19 08:46:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675238400.0	2023-02-01 08:00:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675239360.0	2023-02-01 08:16:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675240260.0	2023-02-01 08:31:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675241160.0	2023-02-01 08:46:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677657600.0	2023-03-01 08:00:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677658560.0	2023-03-01 08:16:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677659460.0	2023-03-01 08:31:00 +0530	True
One Day Service	HEAD OFFICE - BATTARAMULLA	1677660360.0	2023-03-01 08:46:00 +0530	True
