appointment_type	location	ut	time_str	is_available
One Day Service	HEAD OFFICE - BATTARAMULLA	1674115200.0	2023-01-19 08:00:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674116160.0	2023-01-19 08:16:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674117060.0	2023-01-19 08:31:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674117960.0	2023-01-19 08:46:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674118860.0	2023-01-19 09:01:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674119760.0	2023-01-19 09:16:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674120660.0	2023-01-19 09:31:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674121560.0	2023-01-19 09:46:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674122460.0	2023-01-19 10:01:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674123360.0	2023-01-19 10:16:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674124260.0	2023-01-19 10:31:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674125160.0	2023-01-19 10:46:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674126060.0	2023-01-19 11:01:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674126960.0	2023-01-19 11:16:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674127860.0	2023-01-19 11:31:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674128760.0	2023-01-19 11:46:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674129660.0	2023-01-19 12:01:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674130560.0	2023-01-19 12:16:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674131460.0	2023-01-19 12:31:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674132360.0	2023-01-19 12:46:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674136860.0	2023-01-19 14:01:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674137760.0	2023-01-19 14:16:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674138660.0	2023-01-19 14:31:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674139560.0	2023-01-19 14:46:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674201600.0	2023-01-20 08:00:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674202560.0	2023-01-20 08:16:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674203460.0	2023-01-20 08:31:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674204360.0	2023-01-20 08:46:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674205260.0	2023-01-20 09:01:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674206160.0	2023-01-20 09:16:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674207060.0	2023-01-20 09:31:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674207960.0	2023-01-20 09:46:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674208860.0	2023-01-20 10:01:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674209760.0	2023-01-20 10:16:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674210660.0	2023-01-20 10:31:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674211560.0	2023-01-20 10:46:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674212460.0	2023-01-20 11:01:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674213360.0	2023-01-20 11:16:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674214260.0	2023-01-20 11:31:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674215160.0	2023-01-20 11:46:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674216060.0	2023-01-20 12:01:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674216960.0	2023-01-20 12:16:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674217860.0	2023-01-20 12:31:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674218760.0	2023-01-20 12:46:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674223260.0	2023-01-20 14:01:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674224160.0	2023-01-20 14:16:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674225060.0	2023-01-20 14:31:00 +0530	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674225960.0	2023-01-20 14:46:00 +0530	False
