appointment_type	location	ut	time_str	is_available
Normal Service	HEAD OFFICE - BATTARAMULLA	1674441000.0	2023-01-23 08:00:00	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1674441960.0	2023-01-23 08:16:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1674442860.0	2023-01-23 08:31:00	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1674443760.0	2023-01-23 08:46:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1674441000.0	2023-01-23 08:00:00	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1674445560.0	2023-01-23 09:16:00	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1674446460.0	2023-01-23 09:31:00	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1674447360.0	2023-01-23 09:46:00	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1674448260.0	2023-01-23 10:01:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1674449160.0	2023-01-23 10:16:00	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1674450060.0	2023-01-23 10:31:00	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1674450960.0	2023-01-23 10:46:00	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1674451860.0	2023-01-23 11:01:00	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1674452760.0	2023-01-23 11:16:00	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1674453660.0	2023-01-23 11:31:00	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1674454560.0	2023-01-23 11:46:00	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1674455460.0	2023-01-23 12:01:00	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1674456360.0	2023-01-23 12:16:00	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1674457260.0	2023-01-23 12:31:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1674458160.0	2023-01-23 12:46:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1681785000.0	2023-04-18 08:00:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1681785960.0	2023-04-18 08:16:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1681786860.0	2023-04-18 08:31:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1681787760.0	2023-04-18 08:46:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1681788660.0	2023-04-18 09:01:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1681789560.0	2023-04-18 09:16:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1681790460.0	2023-04-18 09:31:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1681791360.0	2023-04-18 09:46:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1681788660.0	2023-04-18 09:01:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1681793160.0	2023-04-18 10:16:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1681794060.0	2023-04-18 10:31:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1681794960.0	2023-04-18 10:46:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1681792260.0	2023-04-18 10:01:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1681793160.0	2023-04-18 10:16:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1681794060.0	2023-04-18 10:31:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1681794960.0	2023-04-18 10:46:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1681795860.0	2023-04-18 11:01:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1681796760.0	2023-04-18 11:16:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1681797660.0	2023-04-18 11:31:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1681798560.0	2023-04-18 11:46:00	True
One Day Service	HEAD OFFICE - BATTARAMULLA	1674527400.0	2023-01-24 08:00:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674528360.0	2023-01-24 08:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674529260.0	2023-01-24 08:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674530160.0	2023-01-24 08:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674531060.0	2023-01-24 09:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674531960.0	2023-01-24 09:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674532860.0	2023-01-24 09:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674533760.0	2023-01-24 09:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674534660.0	2023-01-24 10:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674535560.0	2023-01-24 10:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674536460.0	2023-01-24 10:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674537360.0	2023-01-24 10:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674538260.0	2023-01-24 11:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674539160.0	2023-01-24 11:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674540060.0	2023-01-24 11:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674540960.0	2023-01-24 11:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674541860.0	2023-01-24 12:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674542760.0	2023-01-24 12:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674543660.0	2023-01-24 12:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674544560.0	2023-01-24 12:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674549060.0	2023-01-24 14:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674549960.0	2023-01-24 14:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674550860.0	2023-01-24 14:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674551760.0	2023-01-24 14:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674613800.0	2023-01-25 08:00:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674614760.0	2023-01-25 08:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674615660.0	2023-01-25 08:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674616560.0	2023-01-25 08:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674617460.0	2023-01-25 09:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674618360.0	2023-01-25 09:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674619260.0	2023-01-25 09:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674620160.0	2023-01-25 09:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674621060.0	2023-01-25 10:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674621960.0	2023-01-25 10:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674622860.0	2023-01-25 10:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674623760.0	2023-01-25 10:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674624660.0	2023-01-25 11:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674625560.0	2023-01-25 11:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674626460.0	2023-01-25 11:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674627360.0	2023-01-25 11:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674628260.0	2023-01-25 12:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674629160.0	2023-01-25 12:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674630060.0	2023-01-25 12:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674630960.0	2023-01-25 12:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674635460.0	2023-01-25 14:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674636360.0	2023-01-25 14:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674637260.0	2023-01-25 14:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1674638160.0	2023-01-25 14:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675045800.0	2023-01-30 08:00:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675046760.0	2023-01-30 08:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675047660.0	2023-01-30 08:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675048560.0	2023-01-30 08:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675049460.0	2023-01-30 09:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675050360.0	2023-01-30 09:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675051260.0	2023-01-30 09:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675052160.0	2023-01-30 09:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675053060.0	2023-01-30 10:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675053960.0	2023-01-30 10:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675054860.0	2023-01-30 10:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675055760.0	2023-01-30 10:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675056660.0	2023-01-30 11:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675057560.0	2023-01-30 11:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675058460.0	2023-01-30 11:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675059360.0	2023-01-30 11:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675056660.0	2023-01-30 11:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675057560.0	2023-01-30 11:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675058460.0	2023-01-30 11:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675059360.0	2023-01-30 11:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675060260.0	2023-01-30 12:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675061160.0	2023-01-30 12:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675062060.0	2023-01-30 12:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675062960.0	2023-01-30 12:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676341800.0	2023-02-14 08:00:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676342760.0	2023-02-14 08:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676343660.0	2023-02-14 08:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676344560.0	2023-02-14 08:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676345460.0	2023-02-14 09:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676346360.0	2023-02-14 09:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676347260.0	2023-02-14 09:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676348160.0	2023-02-14 09:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676349060.0	2023-02-14 10:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676349960.0	2023-02-14 10:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676350860.0	2023-02-14 10:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676351760.0	2023-02-14 10:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676349060.0	2023-02-14 10:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676349960.0	2023-02-14 10:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676350860.0	2023-02-14 10:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676351760.0	2023-02-14 10:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676352660.0	2023-02-14 11:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676353560.0	2023-02-14 11:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676354460.0	2023-02-14 11:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676355360.0	2023-02-14 11:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676356260.0	2023-02-14 12:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676357160.0	2023-02-14 12:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676358060.0	2023-02-14 12:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676358960.0	2023-02-14 12:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676428200.0	2023-02-15 08:00:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676429160.0	2023-02-15 08:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676430060.0	2023-02-15 08:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676430960.0	2023-02-15 08:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676431860.0	2023-02-15 09:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676432760.0	2023-02-15 09:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676433660.0	2023-02-15 09:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676434560.0	2023-02-15 09:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676435460.0	2023-02-15 10:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676436360.0	2023-02-15 10:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676437260.0	2023-02-15 10:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676438160.0	2023-02-15 10:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676435460.0	2023-02-15 10:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676436360.0	2023-02-15 10:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676437260.0	2023-02-15 10:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676438160.0	2023-02-15 10:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676439060.0	2023-02-15 11:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676439960.0	2023-02-15 11:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676440860.0	2023-02-15 11:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676441760.0	2023-02-15 11:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676442660.0	2023-02-15 12:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676443560.0	2023-02-15 12:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676444460.0	2023-02-15 12:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676445360.0	2023-02-15 12:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677033000.0	2023-02-22 08:00:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677033960.0	2023-02-22 08:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677034860.0	2023-02-22 08:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677035760.0	2023-02-22 08:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677033000.0	2023-02-22 08:00:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677033960.0	2023-02-22 08:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677034860.0	2023-02-22 08:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677035760.0	2023-02-22 08:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677036660.0	2023-02-22 09:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677037560.0	2023-02-22 09:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677038460.0	2023-02-22 09:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677039360.0	2023-02-22 09:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677040260.0	2023-02-22 10:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677041160.0	2023-02-22 10:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677042060.0	2023-02-22 10:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677042960.0	2023-02-22 10:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677043860.0	2023-02-22 11:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677044760.0	2023-02-22 11:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677045660.0	2023-02-22 11:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677046560.0	2023-02-22 11:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677047460.0	2023-02-22 12:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677048360.0	2023-02-22 12:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677049260.0	2023-02-22 12:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1677050160.0	2023-02-22 12:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1678415400.0	2023-03-10 08:00:00	True
One Day Service	HEAD OFFICE - BATTARAMULLA	1678416360.0	2023-03-10 08:16:00	True
One Day Service	HEAD OFFICE - BATTARAMULLA	1678417260.0	2023-03-10 08:31:00	True
One Day Service	HEAD OFFICE - BATTARAMULLA	1678418160.0	2023-03-10 08:46:00	True
One Day Service	HEAD OFFICE - BATTARAMULLA	1678419060.0	2023-03-10 09:01:00	True
One Day Service	HEAD OFFICE - BATTARAMULLA	1678419960.0	2023-03-10 09:16:00	True
