appointment_type	location	ut	time_str	is_available
Normal Service	HEAD OFFICE - BATTARAMULLA	1682389800.0	2023-04-25 08:00:00	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1682390760.0	2023-04-25 08:16:00	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1682391660.0	2023-04-25 08:31:00	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1682391660.0	2023-04-25 08:31:00	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1682393460.0	2023-04-25 09:01:00	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1682394360.0	2023-04-25 09:16:00	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1682395260.0	2023-04-25 09:31:00	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1682396160.0	2023-04-25 09:46:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682397060.0	2023-04-25 10:01:00	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1682397960.0	2023-04-25 10:16:00	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1682398860.0	2023-04-25 10:31:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682399760.0	2023-04-25 10:46:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682400660.0	2023-04-25 11:01:00	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1682401560.0	2023-04-25 11:16:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682402460.0	2023-04-25 11:31:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682403360.0	2023-04-25 11:46:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682404260.0	2023-04-25 12:01:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682405160.0	2023-04-25 12:16:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682406060.0	2023-04-25 12:31:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682406960.0	2023-04-25 12:46:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682476200.0	2023-04-26 08:00:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682477160.0	2023-04-26 08:16:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682478060.0	2023-04-26 08:31:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682478960.0	2023-04-26 08:46:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682479860.0	2023-04-26 09:01:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682480760.0	2023-04-26 09:16:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682481660.0	2023-04-26 09:31:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682482560.0	2023-04-26 09:46:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682483460.0	2023-04-26 10:01:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682484360.0	2023-04-26 10:16:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682485260.0	2023-04-26 10:31:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682486160.0	2023-04-26 10:46:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682487060.0	2023-04-26 11:01:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682487960.0	2023-04-26 11:16:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682488860.0	2023-04-26 11:31:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682489760.0	2023-04-26 11:46:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682490660.0	2023-04-26 12:01:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682491560.0	2023-04-26 12:16:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682492460.0	2023-04-26 12:31:00	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1682493360.0	2023-04-26 12:46:00	True
One Day Service	HEAD OFFICE - BATTARAMULLA	1675996200.0	2023-02-10 08:00:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675997160.0	2023-02-10 08:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675998060.0	2023-02-10 08:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675998960.0	2023-02-10 08:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1675999860.0	2023-02-10 09:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676000760.0	2023-02-10 09:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676001660.0	2023-02-10 09:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676002560.0	2023-02-10 09:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676003460.0	2023-02-10 10:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676004360.0	2023-02-10 10:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676005260.0	2023-02-10 10:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676006160.0	2023-02-10 10:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676007060.0	2023-02-10 11:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676007960.0	2023-02-10 11:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676008860.0	2023-02-10 11:31:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676009760.0	2023-02-10 11:46:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676010660.0	2023-02-10 12:01:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676011560.0	2023-02-10 12:16:00	False
One Day Service	HEAD OFFICE - BATTARAMULLA	1676012460.0	2023-02-10 12:31:00	False
