appointment_type	location	ut	time_str	is_available
Normal Service	HEAD OFFICE - BATTARAMULLA	1681286400.0	2023-04-12 08:00:00 UTC	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1681287360.0	2023-04-12 08:16:00 UTC	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1681288260.0	2023-04-12 08:31:00 UTC	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1681289160.0	2023-04-12 08:46:00 UTC	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1681290060.0	2023-04-12 09:01:00 UTC	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1681290960.0	2023-04-12 09:16:00 UTC	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1681291860.0	2023-04-12 09:31:00 UTC	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1681292760.0	2023-04-12 09:46:00 UTC	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1681293660.0	2023-04-12 10:01:00 UTC	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1681294560.0	2023-04-12 10:16:00 UTC	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1681295460.0	2023-04-12 10:31:00 UTC	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1681296360.0	2023-04-12 10:46:00 UTC	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1681297260.0	2023-04-12 11:01:00 UTC	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1681298160.0	2023-04-12 11:16:00 UTC	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1681299060.0	2023-04-12 11:31:00 UTC	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1681299960.0	2023-04-12 11:46:00 UTC	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1681300860.0	2023-04-12 12:01:00 UTC	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1681301760.0	2023-04-12 12:16:00 UTC	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1681302660.0	2023-04-12 12:31:00 UTC	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1681303560.0	2023-04-12 12:46:00 UTC	True
Normal Service	HEAD OFFICE - BATTARAMULLA	1681718400.0	2023-04-17 08:00:00 UTC	False
Normal Service	HEAD OFFICE - BATTARAMULLA	1681719360.0	2023-04-17 08:16:00 UTC	False
